"","created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url"
"0","Fri Oct 20 10:31:59 +0000 2023","1.7153149137559E+18","Hari ini ready ya beb bo &amp  vcs #bomakassar #OpenBOMakassar #availmakassar #expomakassar #makassarbo #MakassarOpenBO  #makassar https://t.co/sh10ROHjOy","0","0","0","1","in","1.6438234969493E+18","1.7153149137559E+18","Ps8423451Putri","https://twitter.com/Ps8423451Putri/status/1715314913755922720"
"1","Fri Oct 20 10:31:20 +0000 2023","1.7153147530764E+18","18.30 Perintis - Parumpa arus lalin terpantau ramai lancar. Tetap tertib dan jaga jarak aman saat berkendara. #CCTVDiskominfoMKS *rk https://t.co/Bmcg0BrCbx","0","0","0","0","in","2476319472","1.7153147530764E+18","DiskominfoMKS","https://twitter.com/DiskominfoMKS/status/1715314753076408768"
"2","Fri Oct 20 10:31:13 +0000 2023","1.71531472302E+18","18.30 Toddopuli-Anggrek Raya terpantau ramai lancar. #CCTVDiskominfoMKS *er https://t.co/aPDpTBLP3q","0","0","0","0","in","2476319472","1.71531472302E+18","DiskominfoMKS","https://twitter.com/DiskominfoMKS/status/1715314723020022000"
"3","Fri Oct 20 10:30:55 +0000 2023","1.7153146451527E+18","Norak bgt uwe, akhirnya ada pastry enak di makassar, thankyou monsier spoon 🥹🥹","0","0","0","0","in","75049881","1.7153146451527E+18","nniisoy","https://twitter.com/nniisoy/status/1715314645152723230"
"4","Fri Oct 20 10:30:27 +0000 2023","1.7153145302666E+18","18.30 Nusantara - Tentara Pelajar arus lalin terpantau ramai lancar. #CCTVDiskominfoMKS #lalinMKS *MAM https://t.co/PxRpCAV6dY","0","0","0","0","in","2476319472","1.7153145302666E+18","DiskominfoMKS","https://twitter.com/DiskominfoMKS/status/1715314530266583118"
"5","Fri Oct 20 10:30:17 +0000 2023","1.7153144873085E+18","Makassar nda baik² sj","0","0","0","0","in","1.6552120519488E+18","1.7153144873085E+18","fachruzy8","https://twitter.com/fachruzy8/status/1715314487308521844"
"6","Fri Oct 20 10:30:11 +0000 2023","1.7153144607796E+18","18.30 Urip-Kantor Gub terpantau ramai lancar. #CCTVDiskominfoMKS *er https://t.co/2Fk6Tyh7ep","0","0","0","0","in","2476319472","1.7153144607796E+18","DiskominfoMKS","https://twitter.com/DiskominfoMKS/status/1715314460779577514"
"7","Fri Oct 20 10:30:09 +0000 2023","1.7153144539386E+18","Petugas pemadam kebakaran di Kota Makassar justru dianiaya warga saat akan memadamkan api. Pintu kaca mobil petugas pecah.  https://t.co/BH9A2stEPN","0","0","0","0","in","350668803","1.7153144539386E+18","indozonemedia","https://twitter.com/indozonemedia/status/1715314453938614546"
"8","Fri Oct 20 10:30:05 +0000 2023","1.7153144352195E+18","18.29 Losari - depan Hotel MGH arus lalin terpantau ramai lancar. #CCTVDiskominfoMKS #lalinMKS *MAM https://t.co/KoPnZ63T6v","0","0","0","0","in","2476319472","1.7153144352195E+18","DiskominfoMKS","https://twitter.com/DiskominfoMKS/status/1715314435219451930"
"9","Fri Oct 20 10:29:55 +0000 2023","1.7153143964054E+18","@infoXwor_ @jefrinichol abis dari makassar, lanjut ke ambon ya? Bokap gw dah meninggal, tapi om² gw masih ada semua. Lo tinggal pilih mo gelud sama siapa.","0","0","0","0","in","1.3436247987656E+18","1.7151941603142E+18","Oceanologic18","https://twitter.com/Oceanologic18/status/1715314396405399878"
"10","Fri Oct 20 10:29:45 +0000 2023","1.7153143552341E+18","@pajakmksbarat Halo, apakah ada saluran whatsapp untuk KPP Pratama Makassar Barat? Terimakasih","0","0","0","0","in","9.9885938411649E+17","1.7011054804779E+18","Lindakrsm","https://twitter.com/Lindakrsm/status/1715314355234124283"
